,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,OU_O05,OU_U05,OU_O15,OU_U15,OU_O25,OU_U25,BTTS_Yes,BTTS_No,season_id,match_id,saison,nom_compétition,pays
103469,2012-08-19 00:00:00,Santos Laguna,Pumas UNAM,1,2,A,0,1,A,1.95,3.58,4.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,312,86002,2012,Mexico Liga MX,Mexico
103470,2012-08-19 00:00:00,Monterrey,Atlante,1,1,D,1,0,H,1.61,4.18,6.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,312,86003,2012,Mexico Liga MX,Mexico
103471,2012-08-19 02:00:00,San Luis,Guadalajara,0,1,A,0,0,D,2.45,3.34,3.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,312,86004,2012,Mexico Liga MX,Mexico
103472,2012-08-19 02:00:00,Atlas,Chiapas,1,1,D,1,0,H,2.08,3.54,3.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,312,86005,2012,Mexico Liga MX,Mexico
103473,2012-08-19 17:00:00,Toluca,Pachuca,1,0,H,0,0,D,2.06,3.59,3.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,312,86006,2012,Mexico Liga MX,Mexico
103474,2012-08-25 00:30:00,Chiapas,Querétaro,2,1,H,0,0,D,1.72,3.93,5.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,312,86007,2012,Mexico Liga MX,Mexico
103475,2012-08-25 01:30:00,León,Morelia,1,3,A,0,2,A,2.0,3.73,3.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,312,86008,2012,Mexico Liga MX,Mexico
103476,2012-08-25 22:00:00,América,Tijuana,0,1,A,0,1,A,1.81,3.77,4.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,312,86009,2012,Mexico Liga MX,Mexico
103478,2012-08-26 00:00:00,Tigres UANL,Toluca,1,1,D,1,1,D,1.88,3.75,4.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,312,86011,2012,Mexico Liga MX,Mexico
103477,2012-08-26 00:00:00,Pachuca,Santos Laguna,0,0,D,0,0,D,2.33,3.57,3.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,312,86010,2012,Mexico Liga MX,Mexico
103479,2012-08-26 17:00:00,Puebla,San Luis,1,0,H,1,0,H,2.2,3.53,3.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,312,86012,2012,Mexico Liga MX,Mexico
103480,2012-08-26 17:00:00,Pumas UNAM,Cruz Azul,0,1,A,0,0,D,2.2,3.39,3.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,312,86013,2012,Mexico Liga MX,Mexico
103481,2012-08-26 22:00:00,Guadalajara,Monterrey,1,2,A,1,0,H,2.69,3.39,2.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,312,86014,2012,Mexico Liga MX,Mexico
103482,2012-08-26 23:00:00,Atlante,Atlas,1,0,H,1,0,H,2.27,3.45,3.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,312,86015,2012,Mexico Liga MX,Mexico
103483,2012-09-01 00:30:00,Tijuana,Chiapas,2,0,H,1,0,H,1.9,3.57,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,312,86016,2012,Mexico Liga MX,Mexico
103485,2012-09-01 22:00:00,Cruz Azul,Pachuca,1,1,D,0,1,A,1.94,3.58,4.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,312,86018,2012,Mexico Liga MX,Mexico
103486,2012-09-01 22:00:00,Querétaro,Atlante,0,1,A,0,1,A,3.13,3.49,2.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,312,86019,2012,Mexico Liga MX,Mexico
103487,2012-09-02 00:00:00,Santos Laguna,Tigres UANL,3,1,H,2,1,H,2.35,3.4,3.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,312,86020,2012,Mexico Liga MX,Mexico
103488,2012-09-02 00:00:00,Monterrey,Atlas,1,1,D,1,0,H,1.61,4.05,6.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,312,86021,2012,Mexico Liga MX,Mexico
103489,2012-09-02 02:00:00,San Luis,León,0,2,A,0,1,A,3.17,3.46,2.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,312,86022,2012,Mexico Liga MX,Mexico
103490,2012-09-02 17:00:00,Toluca,América,1,1,D,0,0,D,2.33,3.54,3.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,312,86023,2012,Mexico Liga MX,Mexico
103491,2012-09-02 22:00:00,Guadalajara,Puebla,1,1,D,0,1,A,1.92,3.55,4.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,312,86024,2012,Mexico Liga MX,Mexico
103493,2012-09-15 00:30:00,Pachuca,Morelia,3,2,H,2,1,H,2.6,3.34,2.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,312,86026,2012,Mexico Liga MX,Mexico
103492,2012-09-15 00:30:00,Chiapas,Toluca,2,0,H,0,0,D,2.64,3.46,2.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,312,86025,2012,Mexico Liga MX,Mexico
103494,2012-09-15 02:35:00,León,Guadalajara,1,2,A,0,0,D,1.9,3.64,4.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,312,86027,2012,Mexico Liga MX,Mexico
103495,2012-09-15 22:00:00,América,Santos Laguna,2,0,H,0,0,D,2.16,3.53,3.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,312,86028,2012,Mexico Liga MX,Mexico
103496,2012-09-16 00:00:00,Tigres UANL,Cruz Azul,2,0,H,1,0,H,2.02,3.37,4.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,312,86029,2012,Mexico Liga MX,Mexico
103497,2012-09-16 02:00:00,Atlas,Querétaro,0,0,D,0,0,D,1.61,4.01,6.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,312,86030,2012,Mexico Liga MX,Mexico
103498,2012-09-16 17:00:00,Puebla,Monterrey,2,3,A,0,2,A,3.41,3.38,2.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,312,86031,2012,Mexico Liga MX,Mexico
103500,2012-09-16 23:00:00,Atlante,Tijuana,1,2,A,0,0,D,2.23,3.4,3.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,312,86033,2012,Mexico Liga MX,Mexico
103501,2012-09-22 00:30:00,Puebla,León,1,1,D,0,1,A,3.19,3.37,2.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,312,86034,2012,Mexico Liga MX,Mexico
103503,2012-09-22 22:00:00,Cruz Azul,América,1,1,D,0,1,A,2.41,3.4,3.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,312,86036,2012,Mexico Liga MX,Mexico
103504,2012-09-23 00:00:00,Santos Laguna,Chiapas,0,0,D,0,0,D,1.79,3.83,4.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,312,86037,2012,Mexico Liga MX,Mexico
103505,2012-09-23 00:00:00,Monterrey,Querétaro,3,2,H,0,1,A,1.36,5.08,9.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,312,86038,2012,Mexico Liga MX,Mexico
103506,2012-09-23 00:00:00,San Luis,Pachuca,1,0,H,1,0,H,2.69,3.26,2.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,312,86039,2012,Mexico Liga MX,Mexico
103507,2012-09-23 02:30:00,Tijuana,Atlas,1,1,D,0,1,A,1.9,3.39,4.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,312,86040,2012,Mexico Liga MX,Mexico
103508,2012-09-23 17:00:00,Toluca,Atlante,1,0,H,0,0,D,1.86,3.64,4.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,312,86041,2012,Mexico Liga MX,Mexico
103510,2012-09-29 00:30:00,Chiapas,Cruz Azul,1,0,H,0,0,D,2.8,3.3,2.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,312,86043,2012,Mexico Liga MX,Mexico
103511,2012-09-29 02:38:00,León,Monterrey,2,0,H,0,0,D,2.16,3.48,3.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,312,86044,2012,Mexico Liga MX,Mexico
103513,2012-09-29 22:00:00,Querétaro,Tijuana,0,1,A,0,1,A,3.45,3.49,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,312,86046,2012,Mexico Liga MX,Mexico
103512,2012-09-29 22:00:00,América,Morelia,1,1,D,0,0,D,2.04,3.6,3.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,312,86045,2012,Mexico Liga MX,Mexico
103514,2012-09-30 00:00:00,Pachuca,Guadalajara,1,0,H,0,0,D,2.27,3.33,3.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,312,86047,2012,Mexico Liga MX,Mexico
103515,2012-09-30 00:00:00,Tigres UANL,San Luis,0,0,D,0,0,D,1.48,4.26,8.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,312,86048,2012,Mexico Liga MX,Mexico
