,league,season,Date,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,FTR
1448,bundesliga_2,2022,2023-05-28,Hannover 96,Holstein Kiel,1,5,0,1,A
1449,bundesliga_2,2022,2023-05-28,Jahn Regensburg,FC Heidenheim,2,3,0,2,A
1450,bundesliga_2,2022,2023-05-28,SpVgg Greuther Furth,SV Darmstadt 98,4,0,0,4,H
1451,bundesliga_2,2022,2023-05-28,FC Magdeburg,Arminia Bielefeld,4,0,2,2,H
1452,bundesliga_2,2022,2023-05-28,SC Paderborn 07,FC Nurnberg,0,1,0,0,A
1453,bundesliga_2,2022,2023-05-28,FC St. Pauli,Karlsruher SC,1,1,0,1,D
1454,bundesliga_2,2022,2023-05-28,SV Sandhausen,Hamburger SV,0,1,0,0,A
1455,bundesliga_2,2022,2023-05-28,FC Kaiserslautern,Fortuna Dusseldorf,0,3,0,0,A
1456,bundesliga_2,2022,2023-05-28,Hansa Rostock,Eintracht Braunschweig,2,1,0,2,H
1457,bundesliga_2,2022,2023-06-02,SV Wehen,Arminia Bielefeld,4,0,1,3,H
1458,bundesliga_2,2022,2023-06-06,Arminia Bielefeld,SV Wehen,1,2,1,0,A
