,season,Date,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,FTR
1449,2025,2025-03-04,Atletico Tucuman,Newells Old Boys,1,2,1,0,A
1450,2025,2025-03-04,Banfield,Independiente,0,0,0,0,D
1451,2025,2025-03-05,Platense,Defensa Y Justicia,0,1,0,0,A
1452,2025,2025-03-07,Velez Sarsfield,San Martin S.J.,1,0,0,1,H
1453,2025,2025-03-07,Banfield,Argentinos JRS,1,2,1,0,A
1454,2025,2025-03-08,Central Cordoba de Santiago,Boca Juniors,0,3,0,0,A
1455,2025,2025-03-08,San Lorenzo,Independiente,1,2,1,0,A
1456,2025,2025-03-08,Racing Club,Huracan,0,1,0,0,A
1457,2025,2025-03-09,Sarmiento Junin,Barracas Central,1,1,0,1,D
1458,2025,2025-03-09,Platense,Lanus,0,0,0,0,D
1459,2025,2025-03-09,Defensa Y Justicia,Estudiantes L.P.,1,0,0,1,H
1460,2025,2025-03-09,Aldosivi,Tigre,0,2,0,0,A
1461,2025,2025-03-09,River Plate,Atletico Tucuman,1,0,0,1,H
1462,2025,2025-03-10,Newells Old Boys,Belgrano Cordoba,0,0,0,0,D
1463,2025,2025-03-10,Instituto Cordoba,Godoy Cruz,1,1,1,0,D
1464,2025,2025-03-10,Gimnasia L.P.,Deportivo Riestra,1,1,0,1,D
1465,2025,2025-03-11,Talleres Cordoba,Rosario Central,0,0,0,0,D
1466,2025,2025-03-11,Independ. Rivadavia,Union Santa Fe,2,0,1,1,H
1467,2025,2025-03-14,Argentinos JRS,Aldosivi,0,2,0,0,A
1468,2025,2025-03-15,Godoy Cruz,San Lorenzo,0,0,0,0,D
1469,2025,2025-03-15,Deportivo Riestra,River Plate,0,0,0,0,D
1470,2025,2025-03-15,Rosario Central,Gimnasia L.P.,2,1,1,1,H
1471,2025,2025-03-15,Estudiantes L.P.,Newells Old Boys,1,1,1,0,D
1472,2025,2025-03-16,Huracan,Independ. Rivadavia,2,0,0,2,H
1473,2025,2025-03-16,Sarmiento Junin,Talleres Cordoba,0,0,0,0,D
1474,2025,2025-03-16,Independiente,Racing Club,1,1,0,1,D
