,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG
142,2024-12-07,AS Roma,Lecce,4,1,H,1,3
143,2024-12-08,Fiorentina,Cagliari,1,0,H,1,0
144,2024-12-08,Verona,Empoli,1,4,A,1,0
145,2024-12-08,Venezia,Como,2,2,D,1,1
146,2024-12-08,Napoli,Lazio,0,1,A,0,0
147,2024-12-09,Monza,Udinese,1,2,A,0,1
148,2024-12-13,Empoli,Torino,0,1,A,0,0
149,2024-12-14,Cagliari,Atalanta,0,1,A,0,0
150,2024-12-14,Udinese,Napoli,1,3,A,1,0
151,2024-12-14,Juventus,Venezia,2,2,D,1,1
152,2024-12-15,Lecce,Monza,2,1,H,2,0
153,2024-12-15,Bologna,Fiorentina,1,0,H,0,1
154,2024-12-15,Parma,Verona,2,3,A,1,1
155,2024-12-15,Como,AS Roma,2,0,H,0,2
156,2024-12-15,AC Milan,Genoa,0,0,D,0,0
157,2024-12-16,Lazio,Inter,0,6,A,0,0
158,2024-12-20,Verona,AC Milan,0,1,A,0,0
159,2024-12-21,Torino,Bologna,0,2,A,0,0
160,2024-12-21,Genoa,Napoli,1,2,A,0,1
161,2024-12-21,Lecce,Lazio,1,2,A,0,1
162,2024-12-22,AS Roma,Parma,5,0,H,2,3
163,2024-12-22,Venezia,Cagliari,2,1,H,1,1
164,2024-12-22,Atalanta,Empoli,3,2,H,2,1
165,2024-12-22,Monza,Juventus,1,2,A,1,0
166,2024-12-23,Fiorentina,Udinese,1,2,A,1,0
167,2024-12-23,Inter,Como,2,0,H,0,2
168,2024-12-28,Empoli,Genoa,1,2,A,0,1
169,2024-12-28,Parma,Monza,2,1,H,0,2
170,2024-12-28,Cagliari,Inter,0,3,A,0,0
171,2024-12-28,Lazio,Atalanta,1,1,D,1,0
172,2024-12-29,Udinese,Torino,2,2,D,1,1
173,2024-12-29,Napoli,Venezia,1,0,H,0,1
174,2024-12-29,Juventus,Fiorentina,2,2,D,1,1
175,2024-12-29,AC Milan,AS Roma,1,1,D,1,0
176,2024-12-30,Como,Lecce,2,0,H,0,2
177,2024-12-30,Bologna,Verona,2,3,A,1,1
178,2025-01-04,Venezia,Empoli,1,1,D,1,0
179,2025-01-04,Fiorentina,Napoli,0,3,A,0,0
180,2025-01-04,Verona,Udinese,0,0,D,0,0
181,2025-01-05,Monza,Cagliari,1,2,A,1,0
182,2025-01-05,Lecce,Genoa,0,0,D,0,0
183,2025-01-05,Torino,Parma,0,0,D,0,0
184,2025-01-05,AS Roma,Lazio,2,0,H,2,0
185,2025-01-10,Lazio,Como,1,1,D,1,0
186,2025-01-11,Udinese,Atalanta,0,0,D,0,0
187,2025-01-11,Empoli,Lecce,1,3,A,0,1
188,2025-01-11,Torino,Juventus,1,1,D,1,0
189,2025-01-11,AC Milan,Cagliari,1,1,D,0,1
190,2025-01-12,Genoa,Parma,1,0,H,0,1
191,2025-01-12,Venezia,Inter,0,1,A,0,0
192,2025-01-12,Bologna,AS Roma,2,2,D,0,2
193,2025-01-12,Napoli,Verona,2,0,H,1,1
194,2025-01-13,Monza,Fiorentina,2,1,H,1,1
195,2025-01-14,Como,AC Milan,1,2,A,0,1
196,2025-01-14,Atalanta,Juventus,1,1,D,0,1
197,2025-01-15,Inter,Bologna,2,2,D,2,0
198,2025-01-17,AS Roma,Genoa,3,1,H,1,2
199,2025-01-18,Bologna,Monza,3,1,H,2,1
200,2025-01-18,Juventus,AC Milan,2,0,H,0,2
201,2025-01-18,Atalanta,Napoli,2,3,A,1,1
202,2025-01-19,Fiorentina,Torino,1,1,D,1,0
203,2025-01-19,Cagliari,Lecce,4,1,H,0,4
204,2025-01-19,Parma,Venezia,1,1,D,0,1
205,2025-01-19,Verona,Lazio,0,3,A,0,0
206,2025-01-19,Inter,Empoli,3,1,H,0,3
207,2025-01-20,Como,Udinese,4,1,H,2,2
208,2025-01-24,Torino,Cagliari,2,0,H,1,1
209,2025-01-25,Como,Atalanta,1,2,A,1,0
210,2025-01-25,Napoli,Juventus,2,1,H,0,2
211,2025-01-25,Empoli,Bologna,1,1,D,1,0
212,2025-01-26,AC Milan,Parma,3,2,H,1,2
213,2025-01-26,Udinese,AS Roma,1,2,A,1,0
214,2025-01-26,Lecce,Inter,0,4,A,0,0
215,2025-01-26,Lazio,Fiorentina,1,2,A,0,1
216,2025-01-27,Venezia,Verona,1,1,D,1,0
217,2025-01-27,Genoa,Monza,2,0,H,0,2
218,2025-01-31,Parma,Lecce,1,3,A,1,0
219,2025-02-01,Udinese,Venezia,3,2,H,0,3
220,2025-02-01,Monza,Verona,0,1,A,0,0
221,2025-02-01,Atalanta,Torino,1,1,D,1,0
222,2025-02-01,Bologna,Como,2,0,H,1,1
223,2025-02-02,Juventus,Empoli,4,1,H,0,4
224,2025-02-02,Fiorentina,Genoa,2,1,H,2,0
225,2025-02-02,AC Milan,Inter,1,1,D,1,0
226,2025-02-02,AS Roma,Napoli,1,1,D,0,1
227,2025-02-03,Cagliari,Lazio,1,2,A,0,1
228,2025-02-06,Fiorentina,Inter,3,0,H,0,3
229,2025-02-07,Como,Juventus,1,2,A,1,0
230,2025-02-08,Verona,Atalanta,0,5,A,0,0
231,2025-02-08,Empoli,AC Milan,0,2,A,0,0
232,2025-02-08,Torino,Genoa,1,1,D,1,0
233,2025-02-09,Venezia,AS Roma,0,1,A,0,0
234,2025-02-09,Lazio,Monza,5,1,H,1,4
235,2025-02-09,Cagliari,Parma,2,1,H,0,2
236,2025-02-09,Lecce,Bologna,0,0,D,0,0
237,2025-02-09,Napoli,Udinese,1,1,D,1,0
238,2025-02-10,Inter,Fiorentina,2,1,H,1,1
239,2025-02-14,Bologna,Torino,3,2,H,1,2
240,2025-02-15,Atalanta,Cagliari,0,0,D,0,0
241,2025-02-15,Lazio,Napoli,2,2,D,1,1
242,2025-02-15,AC Milan,Verona,1,0,H,0,1
243,2025-02-16,Fiorentina,Como,0,2,A,0,0
244,2025-02-16,Udinese,Empoli,3,0,H,1,2
245,2025-02-16,Monza,Lecce,0,0,D,0,0
246,2025-02-16,Parma,AS Roma,0,1,A,0,0
247,2025-02-16,Juventus,Inter,1,0,H,0,1
248,2025-02-17,Genoa,Venezia,2,0,H,0,2
249,2025-02-21,Lecce,Udinese,0,1,A,0,0
250,2025-02-22,Venezia,Lazio,0,0,D,0,0
251,2025-02-22,Parma,Bologna,2,0,H,1,1
252,2025-02-22,Torino,AC Milan,2,1,H,1,1
253,2025-02-22,Inter,Genoa,1,0,H,0,1
254,2025-02-23,Como,Napoli,2,1,H,1,1
255,2025-02-23,Verona,Fiorentina,1,0,H,0,1
256,2025-02-23,Empoli,Atalanta,0,5,A,0,0
257,2025-02-23,Cagliari,Juventus,0,1,A,0,0
258,2025-02-24,AS Roma,Monza,4,0,H,2,2
259,2025-02-27,Bologna,AC Milan,2,1,H,0,2
260,2025-02-28,Fiorentina,Lecce,1,0,H,1,0
261,2025-03-01,Atalanta,Venezia,0,0,D,0,0
262,2025-03-01,Napoli,Inter,1,1,D,0,1
263,2025-03-01,Udinese,Parma,1,0,H,1,0
264,2025-03-02,Monza,Torino,0,2,A,0,0
265,2025-03-02,Genoa,Empoli,1,1,D,0,1
266,2025-03-02,Bologna,Cagliari,2,1,H,0,2
267,2025-03-02,AS Roma,Como,2,1,H,0,2
268,2025-03-02,AC Milan,Lazio,1,2,A,0,1
269,2025-03-03,Juventus,Verona,2,0,H,0,2
270,2025-03-07,Cagliari,Genoa,1,1,D,1,0
271,2025-03-08,Parma,Torino,2,2,D,0,2
272,2025-03-08,Como,Venezia,1,1,D,0,1
273,2025-03-08,Lecce,AC Milan,2,3,A,1,1
274,2025-03-08,Inter,Monza,3,2,H,1,2
275,2025-03-09,Verona,Bologna,1,2,A,0,1
276,2025-03-09,Napoli,Fiorentina,2,1,H,1,1
277,2025-03-09,Empoli,AS Roma,0,1,A,0,0
