,Date,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,FTR
165,2025-02-26,ST Johnstone,Ross County,1,0,0,1,H
166,2025-02-26,Dundee Utd,Hibernian,1,3,1,0,A
167,2025-02-26,Kilmarnock,Rangers,2,4,2,0,A
168,2025-03-01,Dundee,ST Johnstone,1,1,1,0,D
169,2025-03-01,Rangers,Motherwell,1,2,0,1,A
170,2025-03-01,Ross County,Kilmarnock,1,0,1,0,H
171,2025-03-01,ST Mirren,Celtic,2,5,1,1,A
172,2025-03-02,Hibernian,Heart Of Midlothian,2,1,1,1,H
173,2025-03-02,Aberdeen,Dundee Utd,2,2,0,2,D
174,2025-03-15,Kilmarnock,Hibernian,1,1,0,1,D
175,2025-03-15,Heart Of Midlothian,Ross County,2,0,1,1,H
176,2025-03-15,Motherwell,ST Mirren,2,2,1,1,D
177,2025-03-15,ST Johnstone,Aberdeen,0,0,0,0,D
178,2025-03-16,Celtic,Rangers,2,3,0,2,A
179,2025-03-16,Dundee Utd,Dundee,2,4,1,1,A
180,2025-03-29,Celtic,Heart Of Midlothian,3,0,3,0,H
181,2025-03-29,Hibernian,ST Johnstone,3,0,2,1,H
182,2025-03-29,ST Mirren,Kilmarnock,5,1,2,3,H
183,2025-03-29,Aberdeen,Motherwell,4,1,2,2,H
184,2025-03-29,Dundee,Rangers,3,4,2,1,A
185,2025-03-30,Ross County,Dundee Utd,0,1,0,0,A
186,2025-04-05,Kilmarnock,Motherwell,2,0,1,1,H
187,2025-04-05,Dundee,ST Mirren,2,0,1,1,H
188,2025-04-05,Rangers,Hibernian,0,2,0,0,A
189,2025-04-05,Ross County,Aberdeen,0,1,0,0,A
190,2025-04-06,ST Johnstone,Celtic,1,0,1,0,H
191,2025-04-06,Heart Of Midlothian,Dundee Utd,0,1,0,0,A
192,2025-04-12,Celtic,Kilmarnock,5,1,4,1,H
193,2025-04-12,ST Mirren,Ross County,3,2,1,2,H
194,2025-04-12,Motherwell,Heart Of Midlothian,0,0,0,0,D
195,2025-04-12,Dundee Utd,ST Johnstone,1,0,1,0,H
196,2025-04-13,Aberdeen,Rangers,2,2,2,0,D
197,2025-04-13,Hibernian,Dundee,4,0,1,3,H
198,2025-04-26,Dundee Utd,Celtic,0,5,0,0,A
199,2025-04-26,Kilmarnock,Ross County,2,0,1,1,H
200,2025-04-26,ST Mirren,Rangers,2,2,1,1,D
201,2025-04-26,Aberdeen,Hibernian,1,0,0,1,H
202,2025-04-26,Heart Of Midlothian,Dundee,0,1,0,0,A
203,2025-04-26,Motherwell,ST Johnstone,3,2,2,1,H
204,2025-05-03,Hibernian,Dundee Utd,3,1,2,1,H
205,2025-05-03,ST Mirren,Aberdeen,1,0,0,1,H
206,2025-05-03,Dundee,Motherwell,1,2,1,0,A
207,2025-05-03,ST Johnstone,Kilmarnock,0,2,0,0,A
208,2025-05-03,Ross County,Heart Of Midlothian,1,3,1,0,A
209,2025-05-04,Rangers,Celtic,1,1,1,0,D
210,2025-05-06,Partick,Ayr Utd,0,1,0,0,A
211,2025-05-09,Ayr Utd,Partick,0,2,0,0,A
212,2025-05-10,Celtic,Hibernian,3,1,2,1,H
213,2025-05-10,Kilmarnock,Dundee,3,2,1,2,H
214,2025-05-10,Heart Of Midlothian,Motherwell,3,0,1,2,H
215,2025-05-10,ST Johnstone,Ross County,2,1,1,1,H
216,2025-05-10,Dundee Utd,ST Mirren,0,2,0,0,A
217,2025-05-11,Rangers,Aberdeen,4,0,0,4,H
218,2025-05-13,Partick,Livingston,0,2,0,0,A
219,2025-05-14,ST Mirren,Hibernian,2,2,1,1,D
220,2025-05-14,Dundee,Ross County,1,1,0,1,D
221,2025-05-14,Heart Of Midlothian,ST Johnstone,2,1,2,0,H
222,2025-05-14,Motherwell,Kilmarnock,3,0,0,3,H
223,2025-05-14,Rangers,Dundee Utd,3,1,1,2,H
224,2025-05-14,Aberdeen,Celtic,1,5,1,0,A
225,2025-05-16,Livingston,Partick,2,0,1,1,H
226,2025-05-17,Celtic,ST Mirren,1,1,0,1,D
227,2025-05-17,Hibernian,Rangers,2,2,1,1,D
228,2025-05-17,Dundee Utd,Aberdeen,2,1,0,2,H
229,2025-05-18,Kilmarnock,Heart Of Midlothian,0,1,0,0,A
230,2025-05-18,ST Johnstone,Dundee,0,2,0,0,A
231,2025-05-18,Ross County,Motherwell,1,1,1,0,D
232,2025-05-22,Livingston,Ross County,1,1,1,0,D
233,2025-05-26,Ross County,Livingston,2,4,2,0,A
